_id,County,Jurisdiction,Planning Period,Record Type,Review Status,Date Received,Date Reviewed,Compliance Status
128,LOS ANGELES,BEVERLY HILLS,6,ADOPTED,IN REVIEW,3/19/2024,,OUT
129,LOS ANGELES,BRADBURY,6,ADOPTED,IN,11/8/2023,1/3/2024,IN
130,LOS ANGELES,BURBANK,6,ADOPTED,IN,9/28/2022,10/7/2022,IN
131,LOS ANGELES,CALABASAS,6,ADOPTED,IN,4/1/2022,4/25/2022,IN
132,LOS ANGELES,CARSON,6,ADOPTED,OUT,9/12/2022,11/7/2022,OUT
133,LOS ANGELES,CERRITOS,6,ADOPTED,IN,7/29/2022,9/1/2022,IN
134,LOS ANGELES,CLAREMONT,6,SUBSEQUENT DRAFT,OUT,1/9/2024,3/8/2024,OUT
135,LOS ANGELES,COMMERCE,6,SUBSEQUENT DRAFT,OUT,12/22/2023,2/20/2024,OUT
136,LOS ANGELES,COMPTON,6,INITIAL DRAFT,IN REVIEW,2/7/2024,,OUT
137,LOS ANGELES,COVINA,6,ADOPTED,IN,2/15/2024,2/29/2024,IN
138,LOS ANGELES,CUDAHY,6,ADOPTED,IN,9/14/2023,11/13/2023,IN
139,LOS ANGELES,CULVER CITY,6,ADOPTED,IN,8/11/2022,10/10/2022,IN
140,LOS ANGELES,DIAMOND BAR,6,ADOPTED,IN,8/12/2022,10/5/2022,IN
141,LOS ANGELES,DOWNEY,6,ADOPTED,IN,10/13/2022,10/14/2022,IN
142,LOS ANGELES,DUARTE,6,ADOPTED,IN,1/31/2022,2/9/2022,IN
143,LOS ANGELES,EL MONTE,6,ADOPTED,IN,8/2/2022,9/30/2022,IN
144,LOS ANGELES,EL SEGUNDO,6,ADOPTED,OUT,11/18/2022,1/17/2023,OUT
145,LOS ANGELES,GARDENA,6,ADOPTED,IN,2/17/2023,2/27/2023,IN
146,LOS ANGELES,GLENDALE,6,ADOPTED,IN,2/16/2023,2/27/2023,IN
147,LOS ANGELES,GLENDORA,6,ADOPTED,IN,7/14/2023,8/10/2023,IN
148,LOS ANGELES,HAWAIIAN GARDENS,6,SUBSEQUENT DRAFT,IN REVIEW,3/8/2024,,OUT
149,LOS ANGELES,HAWTHORNE,6,ADOPTED,IN,8/15/2022,10/12/2022,IN
150,LOS ANGELES,HERMOSA BEACH,6,ADOPTED,IN REVIEW,2/7/2024,,OUT
151,LOS ANGELES,HIDDEN HILLS,6,ADOPTED,OUT,5/2/2023,6/30/2023,OUT
152,LOS ANGELES,HUNTINGTON PARK,6,ADOPTED,IN,2/1/2024,2/7/2024,IN
153,LOS ANGELES,INDUSTRY,6,ADOPTED,IN,7/13/2023,9/11/2023,IN
154,LOS ANGELES,INGLEWOOD,6,ADOPTED,IN,10/4/2023,11/29/2023,IN
155,LOS ANGELES,IRWINDALE,6,SUBSEQUENT DRAFT,IN REVIEW,3/5/2024,,OUT
156,LOS ANGELES,LA CANADA FLINTRIDGE,6,ADOPTED,IN,9/19/2023,11/17/2023,IN
157,LOS ANGELES,LA HABRA HEIGHTS,6,ADOPTED,OUT,8/10/2022,10/6/2022,OUT
158,LOS ANGELES,LA MIRADA,6,ADOPTED,OUT,12/1/2023,1/29/2024,OUT
159,LOS ANGELES,LA PUENTE,6,ADOPTED,IN,8/9/2022,10/7/2022,IN
160,LOS ANGELES,LA VERNE,6,ADOPTED,IN,12/7/2022,12/21/2022,IN
161,LOS ANGELES,LAKEWOOD,6,ADOPTED,IN,8/12/2022,9/16/2022,IN
162,LOS ANGELES,LANCASTER,6,ADOPTED,IN,1/13/2023,2/9/2023,IN
163,LOS ANGELES,LAWNDALE,6,ADOPTED,IN,10/6/2022,10/13/2022,IN
164,LOS ANGELES,LOMITA,6,ADOPTED,IN,8/15/2022,10/14/2022,IN
165,LOS ANGELES,LONG BEACH,6,ADOPTED,IN,2/11/2022,4/8/2022,IN
166,LOS ANGELES,LOS ANGELES,6,ADOPTED,IN,6/14/2022,6/29/2022,IN
167,LOS ANGELES,LOS ANGELES COUNTY,6,ADOPTED,IN,5/17/2022,5/27/2022,IN
168,LOS ANGELES,LYNWOOD,6,SUBSEQUENT DRAFT,IN REVIEW,2/23/2024,,OUT
169,LOS ANGELES,MALIBU,6,ADOPTED,IN REVIEW,2/7/2024,,OUT
170,LOS ANGELES,MANHATTAN BEACH,6,ADOPTED,IN,5/31/2023,7/27/2023,IN
171,LOS ANGELES,MAYWOOD,6,ADOPTED,IN,12/20/2023,12/20/2023,IN
172,LOS ANGELES,MONROVIA,6,ADOPTED,IN,11/3/2022,12/29/2022,IN
173,LOS ANGELES,MONTEBELLO,6,ADOPTED,IN,6/24/2022,7/11/2022,IN
174,LOS ANGELES,MONTEREY PARK,6,ADOPTED,IN,3/23/2023,3/30/2023,IN
175,LOS ANGELES,NORWALK,6,ADOPTED,IN,11/7/2023,11/21/2023,IN
176,LOS ANGELES,PALMDALE,6,ADOPTED,IN,8/29/2023,10/9/2023,IN
177,LOS ANGELES,PALOS VERDES ESTATES,6,ADOPTED,OUT,2/11/2022,4/12/2022,OUT
178,LOS ANGELES,PARAMOUNT,6,ADOPTED,IN,8/15/2022,10/7/2022,IN
179,LOS ANGELES,PASADENA,6,ADOPTED,IN,1/11/2023,3/10/2023,IN
